"","date","SPAD","Midday_WP","ID","Response_curve","E","Emm","A","Ca","Ci","CO2_r_sp","Qin","gsw","RHcham","VPcham","VPDleaf","Fm","Fv.Fm","Fs","Fm.","PhiPS2","ETR","PhiCO2","NPQ","Fmin","Fo.","Fv..Fm.","qP","qN","qP_Fo","qN_Fo","Tleaf","gtc","sample_date","Csetpoint"
"9","6/14/23 9:13",NA,1.21,"LCOR-307","CO2",0.003622839,3.622839109,18.58034222,409.5896246,264.8538148,429.733,1500.042258,0.226861346,46.8862255,1.514811151,1.65630005,2800.8,"0.921637108",276.9672955,912.778,"0.69656664","439.2710375",0.015442046,"2.068435041",471.53,"471.53","0.483412177","1.440937306","0.810563825","0.917079803","0.731416916",24.95475806,0.136815086,"Jun14",400
"10","6/14/23 9:15",NA,1.21,"LCOR-307","CO2",0.0036778,3.677800144,13.22476283,301.3709186,198.6370128,315.267,1499.885,0.228347396,46.50570194,1.517178367,1.670756746,2800.8,"0.921637108",287.1666915,894.521,"0.678971548","428.1303342",0.011196958,"2.131061205",480.09,"480.09","0.463299352","1.465513701","0.8214206","0.899727895","0.738489651",25.04351,0.13767828,"Jun14",300
"11","6/14/23 9:16",NA,1.21,"LCOR-307","CO2",0.003615341,3.615340971,8.006321799,201.4548944,139.301703,209.643,1499.985161,0.230148883,46.84120887,1.515103886,1.630384816,2800.8,"0.921637108",296.6454839,851.327,"0.651549306","410.8664692",0.007058526,"2.289922674",481.95,"481.95","0.433883807","1.501667716","0.840706816","0.877871466","0.755222942",24.81879677,0.138726544,"Jun14",200
"12","6/14/23 9:18",NA,1.21,"LCOR-307","CO2",0.003828466,3.828465599,2.445163925,101.5251873,81.86605713,103.736,1499.983667,0.236193322,45.9400293,1.519521071,1.683630451,2800.8,"0.921637108",306.8741126,822.025,"0.626685183","395.1867517",0.002649106,"2.407195645",477.51,"477.51","0.419105258","1.495293057","0.851712442","0.854956644","0.766574493",25.12343,0.142235055,"Jun14",100
"13","6/14/23 9:19",NA,1.21,"LCOR-307","CO2",0.003819724,3.819723928,-0.207257648,51.00281958,51.08688062,50.5589,1499.976129,0.242838629,46.51819774,1.520746436,1.636276286,2800.8,"0.921637108",316.0794676,808.456,"0.609033185","384.0535323",0.00054601,"2.464381488",476.75,"476.75","0.410295675","1.484376322","0.857272434","0.835985709","0.771831104",24.88011935,0.146089236,"Jun14",100
"14","6/14/23 9:21",NA,1.21,"LCOR-307","CO2",0.003682983,3.682983031,-2.995892794,3.189155257,24.4156261,50.8492,1500.030645,0.230178156,46.08058382,1.532595645,1.660312202,2800.8,"0.921637108",326.572811,805.484,"0.594563255","374.9424951",-0.001665042,"2.477164041",491.7,"491.7","0.389559569","1.52624477","0.864109826","0.81724732","0.772982452",25.06966452,0.138744629,"Jun14",100
"15","6/14/23 9:23",NA,1.21,"LCOR-307","CO2",0.003972179,3.972178739,19.81619994,398.5146113,257.2553905,420.274,1500.031333,0.248733959,46.16782007,1.521283968,1.662690537,2800.8,"0.921637108",336.6873624,882.933,"0.618671675","390.1460164",0.016422028,"2.172154626",468.71,"468.71","0.469144318","1.31872358","0.822381212","0.82333585","0.742978825",25.02265333,0.149502579,"Jun14",400
"16","6/14/23 9:25",NA,1.21,"LCOR-307","CO2",0.004122533,4.122533094,20.04759099,399.8503326,262.4172311,421.613,1499.973548,0.259657744,46.59566723,1.518165466,1.656295369,2800.8,"0.921637108",344.4393162,895.139,"0.615211362","387.9487727",0.016606138,"2.128899534",465.82,"465.82","0.479611546","1.282728423","0.816135898","0.815054185","0.738250238",24.97246129,0.155804539,"Jun14",400
"17","6/14/23 9:27",NA,1.21,"LCOR-307","CO2",0.004390554,4.390553554,26.49759325,598.6885513,422.6273435,628.178,1499.984516,0.2725806,46.68802074,1.527730034,1.683815894,2800.8,"0.921637108",352.2526302,951.063,"0.629622191","397.0391896",0.021720197,"1.944915321",471.11,"471.11","0.504649009","1.247643769","0.793984178","0.818511881","0.716585364",25.16737742,0.163236778,"Jun14",600
"18","6/14/23 9:29",NA,1.21,"LCOR-307","CO2",0.004660747,4.660747438,25.33481519,798.5247052,633.5614968,828.001,1500.035667,0.291058111,46.71418833,1.52122562,1.679566567,2800.8,"0.921637108",361.3190142,922.412,"0.608288905","383.5995054",0.020797526,"2.036387211",477.59,"477.59","0.482237872","1.261387669","0.808531299","0.798216639","0.727684719",25.11106,0.173809127,"Jun14",800
