"","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","H664","H801","D49","D144","D299","D335","D357","D385","D421","D497","D664","D801"
"11",13,3,"LCOR-294","LC-102 8-9D","8-9D","Escape","control","large",1181.1,1181.1,1181.1,1255.776,1341.12,1630.68,2103.12,2103.12,2148.84,2895.6,7.366,8,8,8,9,10,14,14,14.5,19.48
"12",14,3,"LCOR-253","LC-102 4B","4B","LC-102","transgenic","large",990.6,990.6,990.6,1188.72,1493.52,1905,2636.52,2712.72,2825.496,4114.8,6.604,7,7,9.5,12,14,17.5,17.5,19,30.22
"13",15,3,"LCOR-213","LC-102 2H","2H","LC-102","transgenic","large",825.4999999,825.4999999,871.728,1219.2,1554.48,2011.68,2849.88,2895.6,2971.8,3931.92,5.588,7,7,9,12,14,19,19,20.5,24.93
"14",2,4,"LCOR-087","LC-102 8-9D","8-9D","Escape","control","large",1498.6,1555.5,1633.728,1923.288,2316.48,2758.44,3429,3429,3429,4450.08,9.652,11,11,14.1,17.5,19,22.5,23,23,36.05
"15",3,4,"LCOR-308","LC-102 13-15E","13-15E","LC-102","transgenic","large",1384.3,1601.25,1615.44,1923.288,2346.96,2865.12,3550.92,3566.16,3587.496,3718.56,9.906,11,12,14.1,18,20,24,24,24.5,28.02
"16",4,4,"LCOR-249","LC-102 5A","5A","LC-102","transgenic","large",952.5,1067.5,1067.5,1280.16,1645.92,2072.64,2849.88,2895.6,2971.8,4114.8,5.842,6,7,9.5,12,14,18,19,19.5,30.36
"17",5,4,"LCOR-244","LC-102 5A","5A","LC-102","transgenic","large",533.4,1189.5,1189.5,1189.5,1189.5,1189.5,1950.72,2042.16,2042.16,2042.16,3.048,4,4,4,7,8,11.5,12,12,12
"18",6,4,"LCOR-607","LC-102 13-15E","13-15E","LC-102","transgenic","large",419.1,1555.5,1555.5,1555.5,1555.5,1555.5,2148.84,2286,2286,2895.6,2.286,3,3,4.1,6,8,14,15,16,19.07
"19",7,4,"LCOR-396","LC-102 1C","1C","LC-102","transgenic","large",952.5,952.5,1139.952,1414.272,1798.32,2286,3185.16,3291.84,3307.08,4389.12,6.604,8,8,11.1,14,16,21,23,22.8,32.12
"20",9,4,"LCOR-054","LC-102 1","1","LC-102","transgenic","large",1447.8,1447.8,1780.032,2075.688,2560.32,3108.96,3931.92,4145.28,4191,5364.48,9.906,12,12,15.8,19,22,28,29,31,41.86
"21",11,4,"LCOR-268","LC-102 5C","5C","LC-102","transgenic","large",1397,1397,1648.968,2011.68,2438.4,2926.08,3764.28,3870.96,3916.68,5699.76,9.144,11,11,15,18,20,24.5,24.5,25.1,38.5
"22",13,4,"LCOR-107","LC-102 16-20","16-20","Escape","control","large",1041.4,1041.4,1103.376,1405.128,1798.32,2255.52,3124.2,3230.88,3261.36,3352.8,7.366,7.366,8,10.1,14,17,21,23,24,24.53
"23",14,4,"LCOR-201","CT717 3","CT3","Control","control","large",1498.6,1555.5,1682.496,1987.296,2377.44,2956.56,3688.08,3749.04,3764.28,3901.44,10.922,12,12,15.2,19,22,25,25,25.9,29.56
"24",15,4,"LCOR-211","LC-102 2H","2H","LC-102","transgenic","large",1409.7,1586,1624.584,1950.72,2346.96,2773.68,3459.48,3505.2,3505.2,4846.32,9.652,11,11,14.9,18,20,24,24,24,39.03
"25",2,5,"LCOR-344","CT717 3","CT3","Control","control","large",1117.6,1220,1264.92,1584.96,2011.68,2545.08,3322.32,3596.64,3596.64,3962.4,7.62,10,10,13,15,18,23,23,23,30.56
"26",3,5,"LCOR-070","LC-102 2H","2H","LC-102","transgenic","large",1435.1,1435.1,1453.896,1539.24,2042.16,2499.36,3230.88,3291.84,3291.84,4297.68,9.144,10,10,12.2,15,15,20.5,23,23,33.3
"27",4,5,"LCOR-282","LC-102 8-9D","8-9D","Escape","control","large",1409.7,1494.5,1539.24,1889.76,2316.48,2834.64,3550.92,3596.64,3617.976,4632.96,9.144,10,11,14.9,19,20,24,24,24.6,37.8
"28",5,5,"LCOR-027","LC-102 4B","4B","LC-102","transgenic","large",1320.8,1342,1399.032,1706.88,2164.08,2697.48,3566.16,3627.12,3627.12,4450.08,8.382,9,10,13.1,17,20,24,24,24,31.48
"29",6,5,"LCOR-573","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1403,1463.04,1798.32,2225.04,2682.24,3596.64,3810,3810,4968.24,8.636,11,11,13.1,17.5,19,24,24,24,37.34
"30",8,5,"LCOR-575","LC-102 5A","5A","LC-102","transgenic","large",1612.9,2196,2279.904,2667,3230.88,3947.16,5044.44,5273.04,5273.04,6370.32,12.446,16,17,23,30,35,40,40,40,60.53
"31",10,5,"LCOR-092","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1346.2,1346.2,1645.92,2011.68,2849.88,3291.84,3322.32,3322.32,4602.48,8.636,9,9,12,15.5,18,23,23,23,36.73
"32",11,5,"LCOR-142","LC-102 7","7","LC-102","transgenic","large",965.2000001,1037,1037,1310.64,1676.4,2057.4,2910.84,2987.04,3032.76,3840.48,6.096,7,7,10.9,12.5,15,19,20,20,25.81
"33",12,5,"LCOR-563","LC-102 5C","5C","LC-102","transgenic","large",1231.9,1250.5,1286.256,1554.48,2011.68,2529.84,3413.76,3535.68,3535.68,3840.48,7.366,7.366,8,12.1,14,17,21,22,22,26.19
"34",14,5,"LCOR-314","LC-102 16-20","16-20","Escape","control","large",1333.5,1433.5,1490.472,1798.32,2240.28,2788.92,3596.64,3749.04,3749.04,5212.08,8.89,10,10,14.1,17.5,21,25,25,25,44.6
"35",15,5,"LCOR-042","LC-102 5C","5C","LC-102","transgenic","large",1320.8,1433.5,1487.424,1822.704,2225.04,2773.68,3474.72,3505.2,3505.2,4937.76,8.89,10,10,15,18,19,23,23,23,37.65
"36",2,6,"LCOR-577","LC-102 5A","5A","LC-102","transgenic","large",736.6000001,762.5,798.576,1103.376,1584.96,2103.12,3017.52,3078.48,3112.008,4876.8,4.572,5,6,9.5,11,14,20,21,21.5,34.76
"37",3,6,"LCOR-069","LC-102 2H","2H","LC-102","transgenic","large",1498.6,1555.5,1594.104,1950.72,2316.48,2773.68,3566.16,3749.04,3749.04,4389.12,9.144,11,11,14,18,21,24,25,25,33.5
"38",4,6,"LCOR-043","LC-102 1","1","LC-102","transgenic","large",1409.7,1464,1539.24,1889.76,2316.48,2819.4,3383.28,3474.72,3474.72,4511.04,8.89,10,10,15.9,17,19,21,22,22,32.11
"39",5,6,"LCOR-062","LC-102 2H","2H","LC-102","transgenic","large",990.6,1067.5,1088.136,1432.56,1767.84,2255.52,3078.48,3108.96,3108.96,4023.36,8.636,10,10,12,14,16,20,21,21,29.04
"40",6,6,"LCOR-135","LC-102 5","5","LC-102","transgenic","large",1168.4,1372.5,1429.512,1706.88,2133.6,2727.96,3657.6,3779.52,3779.52,5394.96,9.906,11,11,13.2,16,19,24.5,25,25,40.22
"41",7,6,"LCOR-003","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1557.528,1920.24,2316.48,2865.12,3779.52,3962.4,3962.4,5516.88,9.652,11,11,15,18.5,21,26,26,26,42.53
"42",8,6,"LCOR-191","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,960.75,1005.84,1341.12,1767.84,2179.32,2926.08,3078.48,3093.72,4480.56,5.842,6,6,10.3,12,14,18.5,19,19.7,30.37
"43",9,6,"LCOR-310","LC-102 16-20","16-20","Escape","control","large",1092.2,1159,1194.816,1493.52,1767.84,2194.56,2880.36,2895.6,2910.84,3840.48,9.906,12,12,14,15,16,19,20,19.1,27.55
"44",10,6,"LCOR-251","LC-102 5A","5A","LC-102","transgenic","large",1676.4,2135,2215.896,2529.84,2926.08,3459.48,4328.16,4480.56,4480.56,4480.56,13.97,16,16,19,22,24,29.5,30,30,30
"45",11,6,"LCOR-358","LC-102 1","1","LC-102","transgenic","large",1447.8,1647,1752.6,2072.64,2651.76,3429,4434.84,4632.96,4632.96,5516.88,9.652,12,12,16.1,22,26,33,34,34,40.59
"46",12,6,"LCOR-363","LC-102 1","1","LC-102","transgenic","large",1206.5,1206.5,1206.5,1206.5,1356.36,1615.44,2225.04,2225.04,2301.24,3078.48,7.366,9,9,9,9,9,14.5,15,16,20.49
"47",13,6,"LCOR-355","LC-102 1","1","LC-102","transgenic","large",1155.7,1220,1313.688,1645.92,2072.64,2560.32,3307.08,3413.76,3413.76,4175.76,7.366,9,9,13,19,19,20,21,21,27.52
"48",14,6,"LCOR-472","LC-102 13-15B","13-15B","LC-102","transgenic","large",1689.1,1921.5,1990.344,2261.616,2682.24,3185.16,3794.76,4053.84,4053.84,5760.72,12.7,14,14,17,20,22,24,26,26,42.06
"49",15,6,"LCOR-421","LC-102 4B","4B","LC-102","transgenic","large",1016,1250.5,1338.072,1709.928,2164.08,2651.76,3276.6,3291.84,3337.56,4815.84,8.636,10,10,14,18,20,21.5,22,23.5,37.1
"50",2,7,"LCOR-177","LC-102 1C","1C","LC-102","transgenic","large",1409.7,1616.5,1697.736,2066.544,2987.04,3215.64,4236.72,4511.04,4511.04,5852.16,9.144,11,11,14.5,21,24,31,32,32,45.42
"51",3,7,"LCOR-073","LC-102 13-15E","13-15E","LC-102","transgenic","large",1524,1555.5,1609.344,1956.816,3459.48,3459.48,3535.68,3749.04,3749.04,4968.24,10.16,11,11,15,19,22,24,25,25,36.59
"52",4,7,"LCOR-510","LC-102 16-20","16-20","Escape","control","large",1003.3,1067.5,1106.424,1435.608,2865.12,2865.12,3108.96,3169.92,3185.16,4236.72,8.382,8.382,8.382,10.6,13,16,19,19,20.9,29.96
"53",5,7,"LCOR-474","LC-102 13-15B","13-15B","LC-102","transgenic","large",939.7999999,976,990.6,1341.12,2179.32,2225.04,3078.48,3169.92,3169.92,4419.6,8.128,9,9,11,14,16,21,22,22,34.08
"54",6,7,"LCOR-181","LC-102 1C","1C","LC-102","transgenic","large",1422.4,1586,1633.728,1920.24,2926.08,2926.08,3596.64,3688.08,3718.56,5242.56,9.398,10,10,13,15.5,19,24,26,27,38.58
"55",7,7,"LCOR-148","LC-102 7","7","LC-102","transgenic","large",1346.2,1433.5,1499.616,1767.84,2575.56,2773.68,3749.04,3962.4,3962.4,5151.12,8.382,10,10,13,16,19,25,27,27,38.81
"56",8,7,"LCOR-400","LC-102 1C","1C","LC-102","transgenic","large",1600.2,1814.75,1877.568,2206.752,2407.92,3261.36,4023.36,4267.2,4267.2,5394.96,11.684,12,13,17.5,21,25,26.5,29,29,39.07
"57",9,7,"LCOR-530","LC-102 5","5","LC-102","transgenic","large",1422.4,1494.5,1563.624,1932.432,3078.48,3078.48,4023.36,4206.24,4206.24,5669.28,10.414,11,12,16,19,22,28,30,30,45.38
"58",12,7,"LCOR-094","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1464,1481.328,1828.8,2316.48,2651.76,3489.96,3596.64,3596.64,5394.96,8.89,10,10,13.9,16,19,23,24,24,40.95
"59",13,7,"LCOR-296","LC-102 13-15E","13-15E","LC-102","transgenic","large",1701.8,1860.5,1905,1905,1905,3169.92,3855.72,3931.92,3931.92,5120.64,12.7,14,14,18.5,22.5,25,28,29,29,44.45
"60",14,7,"LCOR-265","LC-102 4B","4B","LC-102","transgenic","large",1270,1311.5,1414.272,1716.024,2468.88,2682.24,3505.2,3779.52,3779.52,4053.84,8.128,9,10,13.5,17,20,23,24,24,28.16
"61",15,7,"LCOR-198","CT717 3","CT3","Control","control","large",1028.7,1098,1130.808,1411.224,1874.52,2179.32,2773.68,2773.68,2773.68,2895.6,6.35,8,9,11,13.5,15,17,18,18,17.56
"62",2,8,"LCOR-179","LC-102 1C","1C","LC-102","transgenic","large",1473.2,1860.5,1984.248,2410.968,2987.04,3718.56,4632.96,4907.28,4922.52,6522.72,11.176,14,15,20.5,25,31,35,36,36,54.96
"63",3,8,"LCOR-036","LC-102 5C","5C","LC-102","transgenic","large",1752.6,2424.75,2514.6,2895.6,3459.48,4160.52,4968.24,5212.08,5212.08,6248.4,14.478,18,19,24,33,37,40,40,40,53.12
"64",4,8,"LCOR-279","LC-102 5C","5C","LC-102","transgenic","large",1549.4,2013,2084.832,2423.16,2865.12,3566.16,4358.64,4511.04,4511.04,6156.96,10.922,14,16,20,27,31,34,35,35,50.21
"65",5,8,"LCOR-078","LC-102 13-15E","13-15E","LC-102","transgenic","large",1346.2,1433.5,1469.136,1737.36,2179.32,2712.72,3535.68,3566.16,3569.208,4602.48,8.636,10,10,14,17,19,23.5,23.5,25,36.09
"66",6,8,"LCOR-582","LC-102 5A","5A","LC-102","transgenic","large",1511.3,1921.5,1984.248,2392.68,2926.08,3642.36,4572,4815.84,4815.84,6736.08,11.176,13,14,19.1,24,28,32.5,34,34,56.08
"67",7,8,"LCOR-385","LC-102 7","7","LC-102","transgenic","large",1447.8,1677.5,1773.936,2100.072,2575.56,3185.16,4023.36,4328.16,4328.16,5974.08,9.398,11,12,16.9,22,25,29,30,30,51.84
"68",8,8,"LCOR-250","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1555.5,1615.44,2392.68,2407.92,3032.76,4008.12,4236.72,4236.72,6370.32,8.128,11,12,19.1,21,24,29,30,30,52.63
"69",9,8,"LCOR-034","LC-102 5C","5C","LC-102","transgenic","large",1663.7,2226.5,2273.808,2606.04,3078.48,3535.68,4312.92,4572,4572,5791.2,12.954,16,16,21.5,28,30,34,36,36,44.43
"70",10,8,"LCOR-255","LC-102 4B","4B","LC-102","transgenic","large",1473.2,1708,1819.656,2209.8,2773.68,3398.52,4069.08,4206.24,4206.24,5151.12,10.414,12,13,18,24,27,29,29,29,40.08
"71",11,8,"LCOR-238","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1551.432,1920.24,2392.68,2926.08,3566.16,3596.64,3596.64,3688.08,10.922,12,13,15.5,19,22,25,25,25,28.17
"72",12,8,"LCOR-254","LC-102 4B","4B","LC-102","transgenic","large",1549.4,1616.5,1652.016,1956.816,2316.48,2819.4,3550.92,3550.92,3672.84,4754.88,9.652,11,11,15,18,21,25,25,27,38.2
"73",13,8,"LCOR-469","LC-102 13-15B","13-15B","LC-102","transgenic","large",1130.3,1130.3,1130.3,1316.736,1600.2,1950.72,2712.72,3688.08,3688.08,3688.08,6.858,7,8,9.1,11,12,17,17,17,17
"74",14,8,"LCOR-167","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1563.624,1990.344,2468.88,3017.52,3627.12,5273.04,5273.04,5273.04,9.144,11,12,16.2,21,23,25,25,25,25
"75",15,8,"LCOR-274","LC-102 5C","5C","LC-102","transgenic","large",1168.4,1168.4,1203.96,1508.76,1874.52,2407.92,3078.48,3078.48,3093.72,3566.16,7.366,7.366,8,11,13,16,20,20,23,23.1
"76",2,9,"LCOR-581","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1542.288,1895.856,2407.92,3246.12,4419.6,4846.32,4846.32,6583.68,7.62,10,11,15,27.5,28,37.5,42,42,71.56
"77",3,9,"LCOR-001","LC-102 4A","4A","LC-102","transgenic","large",1752.6,2165.5,2279.904,2590.8,3154.68,3779.52,4754.88,4968.24,4968.24,6918.96,11.938,15,15,21,30,34,38,38,38,60.3
"78",4,9,"LCOR-342","CT717 3","CT3","Control","control","large",1422.4,1586,1645.92,1981.2,2468.88,3093.72,3931.92,4053.84,4053.84,4450.08,10.668,11,13,18.5,23,24,29,29,29,32.88
"79",5,9,"LCOR-471","LC-102 13-15B","13-15B","LC-102","transgenic","large",1562.1,1906.25,1975.104,2383.536,2834.64,3550.92,4450.08,4572,4617.72,6522.72,10.922,14,14,20,25,29,33.5,35,34,51.25
"80",6,9,"LCOR-380","LC-102 7","7","LC-102","transgenic","large",1625.6,2043.5,2130.552,2484.12,2987.04,3642.36,4419.6,4632.96,4632.96,5913.12,11.938,15,16,20,24,27,31,32,32,46.05
"81",7,9,"LCOR-076","LC-102 13-15E","13-15E","LC-102","transgenic","large",1041.4,1387.75,1472.184,1780.032,2255.52,2895.6,3810,3931.92,3934.968,5974.08,7.366,10,11,15.2,20,22,27.5,27.5,27,44.5
"82",8,9,"LCOR-163","LC-102 5A","5A","LC-102","transgenic","large",1524,1982.5,2048.256,2423.16,2895.6,3535.68,4480.56,4754.88,4754.88,7010.4,10.414,14,15,19.1,26,29,33,34,34,58.94
"83",10,9,"LCOR-217","LC-102 2H","2H","LC-102","transgenic","large",1422.4,1738.5,1789.176,2054.352,2590.8,2956.56,3825.24,3931.92,3931.92,4541.52,10.668,12,13,16.5,20,23,28,30,30,35.02
"84",11,9,"LCOR-231","LC-102 4A","4A","LC-102","transgenic","large",1320.8,1631.75,1691.64,1990.344,2407.92,2926.08,3779.52,3931.92,3931.92,4998.72,10.414,11,13,16,20,22,27.5,28,28,40.11
"85",12,9,"LCOR-075","LC-102 13-15E","13-15E","LC-102","transgenic","large",571.5,571.5,591.312,975.36,1188.72,1524,2255.52,2346.96,2346.96,2712.72,3.81,5,5,8,8,9,14,14,14,18.66
"86",13,9,"LCOR-504","CT717 3","CT3","Control","control","large",876.3,884.5,923.544,1280.16,1615.44,2011.68,2773.68,2865.12,2956.56,3657.6,5.08,6,7,9,11.5,14,18,19,19.1,24.6
"87",14,9,"LCOR-511","LC-102 16-20","16-20","Escape","control","large",1358.9,1358.9,1395.984,1716.024,2103.12,2651.76,3352.8,3413.76,3429,5455.92,8.128,9,10,12.1,16,18,23,23,23,41.59
"88",15,9,"LCOR-041","LC-102 5C","5C","LC-102","transgenic","large",1244.6,1555.5,1603.248,1926.336,2407.92,3063.24,3733.8,3733.8,3886.2,5974.08,8.382,10,11,15.9,21,22,26,28,26,40.77
"89",3,10,"LCOR-023","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1677.5,1746.504,2109.216,2560.32,3124.2,3810,3901.44,3901.44,6156.96,9.398,12,12,17,23,25,29.5,30,30,45.94
"90",4,10,"LCOR-020","LC-102 4B","4B","LC-102","transgenic","large",787.3999999,960.75,1008.888,1322.832,1737.36,2148.84,2987.04,3078.48,3084.576,4937.76,5.08,6,8,9.9,14,15,25,25,22.1,36.94
"91",5,10,"LCOR-010","LC-102 4A","4A","LC-102","transgenic","large",1168.4,1342,1423.416,1740.408,2286,2621.28,3505.2,3566.16,3566.16,4785.36,7.874,10,10,13,17,19,23,23,23,35.23
"92",6,10,"LCOR-292","LC-102 8-9D","8-9D","Escape","control","large",1219.2,1433.5,1478.28,1804.416,2164.08,2636.52,3383.28,3566.16,3566.16,4876.8,7.874,9,10,13,17,19,22,23,23,34.41
"93",7,10,"LCOR-420","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1616.5,1676.4,2008.632,2438.4,2987.04,3794.76,3901.44,3901.44,5516.88,9.398,11,11,15.5,20,22,26,26,26,42.31
"94",8,10,"LCOR-157","LC-102 5A","5A","LC-102","transgenic","large",1600.2,1708,1770.888,1950.72,2331.72,2926.08,3779.52,3931.92,3931.92,5699.76,10.668,11,13,13,17,20,26.5,28,28,41.54
"95",10,10,"LCOR-263","LC-102 4B","4B","LC-102","transgenic","large",1574.8,1769,1769,2109.216,2468.88,2910.84,3749.04,3810,3825.24,4724.4,10.668,12,12,16,19,21,26,26,26.5,36.25
"96",11,10,"LCOR-018","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1647,1709.928,2103.12,2575.56,3108.96,3931.92,4114.8,4114.8,5212.08,10.414,12,13,13,21,23,27,28,28,38.39
"97",12,10,"LCOR-286","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1433.5,1466.088,1770.888,2225.04,2682.24,3383.28,3413.76,3413.76,4815.84,8.636,11,11,12.2,16,17,21,22,22,32.02
"98",13,10,"LCOR-133","LC-102 5","5","LC-102","transgenic","large",939.7999999,939.7999999,981.456,1347.216,1737.36,2194.56,2773.68,3017.52,3017.52,3352.8,4.318,6,7,10.5,13,14,18,20,20,21.48
"99",14,10,"LCOR-039","LC-102 5C","5C","LC-102","transgenic","large",1295.4,1342,1356.36,1615.44,1950.72,2453.64,3276.6,3474.72,3474.72,4724.4,9.144,9.144,10,12.6,16,18,24,25,25,36.29
"100",15,10,"LCOR-203","CT717 3","CT3","Control","control","large",1219.2,1281,1353.312,1652.016,2087.88,2621.28,3383.28,3474.72,3474.72,4541.52,8.128,9,9,13,17,19,22.5,23,23,35.86
"101",2,11,"LCOR-164","LC-102 5A","5A","LC-102","transgenic","large",1320.8,1372.5,1435.608,1652.016,2164.08,2514.6,3535.68,3688.08,3688.08,5303.52,9.144,10,10,14,17,19,24,25,25,41.86
"102",3,11,"LCOR-529","LC-102 5","5","LC-102","transgenic","large",1498.6,1769,1798.32,2075.688,2438.4,2941.32,3718.56,3870.96,3892.296,5638.8,10.16,11,12,16,19,21,24,25,24,40.36
"103",4,11,"LCOR-386","LC-102 7","7","LC-102","transgenic","large",1231.9,1372.5,1417.32,1737.36,2133.6,2727.96,3520.44,3520.44,3627.12,4968.24,8.128,9,9,13,16,18,23,23,24.5,41.52
"104",5,11,"LCOR-028","LC-102 4B","4B","LC-102","transgenic","large",1244.6,1433.5,1496.568,1780.032,2072.64,2468.88,3246.12,3383.28,3413.76,4632.96,8.89,10,10,14,17,19,19,25,25.5,35.38
"105",6,11,"LCOR-527","LC-102 5","5","LC-102","transgenic","large",1625.6,1982.5,2045.208,2112.264,2910.84,3535.68,4297.68,4328.16,4434.84,5516.88,11.684,13,13,19,24,27,30,30,31,38.3
"106",8,11,"LCOR-150","LC-102 7","7","LC-102","transgenic","large",1422.4,1647,1709.928,2042.16,2529.84,3017.52,3901.44,3992.88,4069.08,5608.32,9.144,10,11,15,19,21,25,26,27.5,38.58
"107",9,11,"LCOR-233","LC-102 4A","4A","LC-102","transgenic","large",1219.2,1433.5,1478.28,1844.04,2194.56,2773.68,3520.44,3596.64,3703.32,5638.8,9.906,11,11,15.1,17,21,26,26,26.9,43.37
"108",10,11,"LCOR-161","LC-102 5A","5A","LC-102","transgenic","large",1270,1296.25,1338.072,1597.152,1981.2,2545.08,3352.8,3444.24,3505.2,5486.4,7.874,8,8,12.1,14,16,20,22,22,36.37
"109",11,11,"LCOR-019","LC-102 4B","4B","LC-102","transgenic","large",762,793,856.488,1136.904,1508.76,1965.96,2804.16,2895.6,2987.04,3535.68,6.604,7,7,9.2,12,13,18,19,20,23.27
"110",12,11,"LCOR-360","LC-102 1","1","LC-102","transgenic","large",1193.8,1387.75,1444.752,1749.552,2179.32,2667,3413.76,3535.68,3599.688,3810,8.89,10,10,14,18,20,24,24,24.1,28.06
"111",13,11,"LCOR-289","LC-102 8-9D","8-9D","Escape","control","large",1447.8,1525,1584.96,1828.8,2164.08,2560.32,3230.88,3931.92,3931.92,4053.84,9.398,11,11,14,18,19,23,24,24,33.35
"112",14,11,"LCOR-040","LC-102 5C","5C","LC-102","transgenic","large",1016,1037,1100.328,1322.832,1645.92,2026.92,2788.92,2941.32,2941.32,3962.4,6.858,8,8,10.1,11,11,17,18,18.1,27.9
"113",2,12,"LCOR-180","LC-102 1C","1C","LC-102","transgenic","large",1295.4,1372.5,1435.608,1712.976,2164.08,2590.8,3398.52,3398.52,3398.52,4846.32,8.382,9,9,13,16,19,24,25,25,38.3
"114",3,12,"LCOR-403","LC-102 1C","1C","LC-102","transgenic","large",1358.9,1494.5,1572.768,1618.488,2407.92,2926.08,3380.232,3718.56,3721.608,4907.28,9.398,10,11,15,19,22,24,26,26.1,33.12
"115",4,12,"LCOR-364","LC-102 1","1","LC-102","transgenic","large",1003.3,1250.5,1304.544,1682.496,2179.32,2727.96,3474.72,3566.16,3611.88,4358.64,7.62,9,9,13.1,18,19,24,24,23.5,28.87
"116",5,12,"LCOR-277","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1647,1706.88,2106.168,2621.28,3230.88,3840.48,3840.48,3904.488,6187.44,8.89,12,12,17,23,25,28,28,28,46.99
"117",7,12,"LCOR-111","LC-102 16-20","16-20","Escape","control","large",1473.2,1738.5,1780.032,2103.12,2499.36,3002.28,3688.08,3779.52,3806.952,5242.56,10.668,12,12,16.5,20,23,26,27,28.1,38.45
"118",8,12,"LCOR-303","LC-102 13-15E","13-15E","LC-102","transgenic","large",1511.3,1555.5,1603.248,1892.808,2286,2743.2,3444.24,3505.2,3508.248,4450.08,10.16,11,11,13.5,17,18,22,23,22.5,30.7
"119",9,12,"LCOR-588","LC-102 5A","5A","LC-102","transgenic","large",1358.9,1448.75,1496.568,1804.416,2255.52,2697.48,3307.08,3413.76,3413.76,4907.28,8.636,9,9,13.1,16,18,20,21,21,34.14
"120",10,12,"LCOR-561","LC-102 5C","5C","LC-102","transgenic","large",1447.8,1616.5,1630.68,1932.432,2331.72,2880.36,3657.6,3749.04,3749.04,5059.68,10.16,11,11,15,18,20,23,23,23,38.26
"121",11,12,"LCOR-035","LC-102 5C","5C","LC-102","transgenic","large",1384.3,1738.5,1792.224,2084.832,2423.16,2941.32,3596.64,3718.56,3788.664,4541.52,9.906,11,12,16,19,21,24,25,24.1,32.87
"122",12,12,"LCOR-241","LC-102 5A","5A","LC-102","transgenic","large",1384.3,1525,1525,2042.16,2286,2834.64,3566.16,3688.08,3733.8,5059.68,8.89,10,10,14.5,18,21,24,25,25.5,38.78
