"","ID","Event","sample_date","gene","expression_level","Class"
"764","LCOR-227","4A","07-14-2023","MS",0.822148597,"intermediate"
"765","LCOR-230","4A","07-14-2023","MS",0.761784903,"intermediate"
"766","LCOR-234","4A","07-14-2023","MS",0.982060959,"intermediate"
"767","LCOR-534","4A","07-14-2023","MS",0.958554528,"intermediate"
"768","LCOR-544","4A","07-14-2023","MS",0.973328256,"intermediate"
"769","LCOR-157","5A","07-14-2023","MS",1.105008709,"intermediate"
"770","LCOR-162","5A","07-14-2023","MS",0.912696709,"intermediate"
"771","LCOR-163","5A","07-14-2023","MS",0.652398872,"intermediate"
"772","LCOR-241","5A","07-14-2023","MS",0.748697783,"intermediate"
"773","LCOR-242","5A","07-14-2023","MS",0.801986838,"intermediate"
"774","LCOR-251","5A","07-14-2023","MS",1.204461219,"intermediate"
"775","LCOR-033","5C","07-14-2023","MS",0.95009471,"intermediate"
"776","LCOR-274","5C","07-14-2023","MS",0.509672185,"intermediate"
"777","LCOR-275","5C","07-14-2023","MS",0.709745315,"intermediate"
"778","LCOR-562","5C","07-14-2023","MS",1.386693495,"intermediate"
"779","LCOR-563","5C","07-14-2023","MS",0.757246497,"intermediate"
"780","LCOR-572","5C","07-14-2023","MS",1.137844798,"intermediate"
"781","LCOR-092","8-9D","07-14-2023","MS",0.001130135,"Control"
"782","LCOR-098","8-9D","07-14-2023","MS",0.000489733,"Control"
"783","LCOR-288","8-9D","07-14-2023","MS",5.17683e-05,"Control"
"784","LCOR-289","8-9D","07-14-2023","MS",0.00335137,"Control"
"785","LCOR-290","8-9D","07-14-2023","MS",0.000172443,"Control"
"786","LCOR-293","8-9D","07-14-2023","MS",0.005643328,"Control"
"787","LCOR-204","CT3","07-14-2023","MS",9.88068e-05,"WT"
"788","LCOR-207","CT3","07-14-2023","MS",2.70519e-05,"WT"
"789","LCOR-341","CT3","07-14-2023","MS",2.98177e-05,"WT"
"790","LCOR-344","CT3","07-14-2023","MS",0,"WT"
"791","LCOR-495","CT3","07-14-2023","MS",0.000403101,"WT"
"792","LCOR-501","CT3","07-14-2023","MS",1.50959e-05,"WT"
"793","LCOR-079","13-15E","08-14-2023","PLGG1",0.09396925,"high"
"794","LCOR-084","13-15E","08-14-2023","PLGG1",0.144864522,"high"
"795","LCOR-301","13-15E","08-14-2023","PLGG1",0.156862916,"high"
"796","LCOR-303","13-15E","08-14-2023","PLGG1",0.222945975,"high"
"797","LCOR-610","13-15E","08-14-2023","PLGG1",0.388307289,"high"
"798","LCOR-611","13-15E","08-14-2023","PLGG1",0.32338826,"high"
"799","LCOR-101","16-20","08-14-2023","PLGG1",0.569008104,"Control"
"800","LCOR-102","16-20","08-14-2023","PLGG1",1.419895595,"Control"
"801","LCOR-319","16-20","08-14-2023","PLGG1",0.728164784,"Control"
"802","LCOR-505","16-20","08-14-2023","PLGG1",1.76870422,"Control"
"803","LCOR-506","16-20","08-14-2023","PLGG1",0.696472613,"Control"
"804","LCOR-507","16-20","08-14-2023","PLGG1",0.560820697,"Control"
"805","LCOR-064","2H","08-14-2023","PLGG1",0.18101521,"high"
"806","LCOR-069","2H","08-14-2023","PLGG1",0.344869619,"high"
"807","LCOR-449","2H","08-14-2023","PLGG1",0.197414526,"high"
"808","LCOR-450","2H","08-14-2023","PLGG1",0.145293717,"high"
"809","LCOR-460","2H","08-14-2023","PLGG1",0.331272326,"high"
"810","LCOR-461","2H","08-14-2023","PLGG1",0.504254483,"high"
"811","LCOR-001","4A","08-14-2023","PLGG1",1.183597183,"intermediate"
"812","LCOR-003","4A","08-14-2023","PLGG1",0.900716305,"intermediate"
"813","LCOR-227","4A","08-14-2023","PLGG1",0.700053338,"intermediate"
"814","LCOR-230","4A","08-14-2023","PLGG1",0.583128888,"intermediate"
"815","LCOR-234","4A","08-14-2023","PLGG1",1.256229677,"intermediate"
"816","LCOR-544","4A","08-14-2023","PLGG1",0.4567054,"intermediate"
"817","LCOR-162","5A","08-14-2023","PLGG1",1.031413316,"intermediate"
"818","LCOR-163","5A","08-14-2023","PLGG1",1.662831146,"intermediate"
"819","LCOR-242","5A","08-14-2023","PLGG1",0.995098053,"intermediate"
"820","LCOR-582","5A","08-14-2023","PLGG1",1.689231168,"intermediate"
"821","LCOR-585","5A","08-14-2023","PLGG1",0.508875981,"intermediate"
"822","LCOR-586","5A","08-14-2023","PLGG1",0.893108521,"intermediate"
"823","LCOR-033","5C","08-14-2023","PLGG1",0.773902566,"intermediate"
"824","LCOR-042","5C","08-14-2023","PLGG1",1.237427837,"intermediate"
"825","LCOR-275","5C","08-14-2023","PLGG1",0.791826964,"intermediate"
"826","LCOR-279","5C","08-14-2023","PLGG1",1.776753487,"intermediate"
"827","LCOR-568","5C","08-14-2023","PLGG1",0.365393169,"intermediate"
"828","LCOR-572","5C","08-14-2023","PLGG1",0.669619904,"intermediate"
"829","LCOR-092","8-9D","08-14-2023","PLGG1",1.830665094,"Control"
"830","LCOR-095","8-9D","08-14-2023","PLGG1",0.428118763,"Control"
"831","LCOR-098","8-9D","08-14-2023","PLGG1",1.020749062,"Control"
"832","LCOR-290","8-9D","08-14-2023","PLGG1",1.875467192,"Control"
"833","LCOR-292","8-9D","08-14-2023","PLGG1",1.055611298,"Control"
"834","LCOR-417","8-9D","08-14-2023","PLGG1",1.134469452,"Control"
"835","LCOR-207","CT3","08-14-2023","PLGG1",0.648605775,"WT"
"836","LCOR-347","CT3","08-14-2023","PLGG1",1.360380255,"WT"
"837","LCOR-494","CT3","08-14-2023","PLGG1",0.570377471,"WT"
"838","LCOR-495","CT3","08-14-2023","PLGG1",0.468093922,"WT"
"839","LCOR-501","CT3","08-14-2023","PLGG1",0.929217111,"WT"
"840","LCOR-502","CT3","08-14-2023","PLGG1",0.53223816,"WT"
"841","LCOR-079","13-15E","08-14-2023","GDH",0.996661444,"high"
"842","LCOR-084","13-15E","08-14-2023","GDH",0.030065745,"high"
"843","LCOR-301","13-15E","08-14-2023","GDH",0.914664468,"high"
"844","LCOR-303","13-15E","08-14-2023","GDH",3.156906714,"high"
"845","LCOR-610","13-15E","08-14-2023","GDH",3.132541949,"high"
"846","LCOR-611","13-15E","08-14-2023","GDH",2.335967588,"high"
"847","LCOR-101","16-20","08-14-2023","GDH",5.40784e-05,"Control"
"848","LCOR-102","16-20","08-14-2023","GDH",0.000131368,"Control"
"849","LCOR-319","16-20","08-14-2023","GDH",0.000341228,"Control"
"850","LCOR-505","16-20","08-14-2023","GDH",1.36734e-05,"Control"
"851","LCOR-506","16-20","08-14-2023","GDH",5.0253e-05,"Control"
"852","LCOR-507","16-20","08-14-2023","GDH",0.000589282,"Control"
"853","LCOR-064","2H","08-14-2023","GDH",1.097262586,"high"
"854","LCOR-069","2H","08-14-2023","GDH",1.829280753,"high"
"855","LCOR-449","2H","08-14-2023","GDH",2.011409364,"high"
"856","LCOR-450","2H","08-14-2023","GDH",1.719457843,"high"
"857","LCOR-460","2H","08-14-2023","GDH",1.726312763,"high"
"858","LCOR-461","2H","08-14-2023","GDH",1.506358296,"high"
"859","LCOR-001","4A","08-14-2023","GDH",1.508805569,"intermediate"
"860","LCOR-003","4A","08-14-2023","GDH",0.809541205,"intermediate"
"861","LCOR-227","4A","08-14-2023","GDH",0.532128786,"intermediate"
"862","LCOR-230","4A","08-14-2023","GDH",0.374749231,"intermediate"
"863","LCOR-234","4A","08-14-2023","GDH",0.645672106,"intermediate"
"864","LCOR-544","4A","08-14-2023","GDH",0.614401213,"intermediate"
"865","LCOR-162","5A","08-14-2023","GDH",1.720964409,"intermediate"
"866","LCOR-163","5A","08-14-2023","GDH",2.822861186,"intermediate"
"867","LCOR-242","5A","08-14-2023","GDH",1.090651096,"intermediate"
"868","LCOR-582","5A","08-14-2023","GDH",1.922899571,"intermediate"
"869","LCOR-585","5A","08-14-2023","GDH",1.177945386,"intermediate"
"870","LCOR-586","5A","08-14-2023","GDH",1.342990414,"intermediate"
"871","LCOR-033","5C","08-14-2023","GDH",1.638187022,"intermediate"
"872","LCOR-042","5C","08-14-2023","GDH",1.554375347,"intermediate"
"873","LCOR-275","5C","08-14-2023","GDH",1.382230594,"intermediate"
"874","LCOR-279","5C","08-14-2023","GDH",1.590181783,"intermediate"
"875","LCOR-568","5C","08-14-2023","GDH",2.086430248,"intermediate"
"876","LCOR-572","5C","08-14-2023","GDH",1.87767743,"intermediate"
"877","LCOR-092","8-9D","08-14-2023","GDH",7.14696e-05,"Control"
"878","LCOR-095","8-9D","08-14-2023","GDH",0.000104235,"Control"
"879","LCOR-098","8-9D","08-14-2023","GDH",2.0408e-05,"Control"
"880","LCOR-290","8-9D","08-14-2023","GDH",1.61192e-05,"Control"
"881","LCOR-292","8-9D","08-14-2023","GDH",0.000165771,"Control"
"882","LCOR-417","8-9D","08-14-2023","GDH",0.000480279,"Control"
"883","LCOR-207","CT3","08-14-2023","GDH",1.04897e-05,"WT"
"884","LCOR-347","CT3","08-14-2023","GDH",8.79354e-05,"WT"
"885","LCOR-494","CT3","08-14-2023","GDH",0.003376014,"WT"
"886","LCOR-495","CT3","08-14-2023","GDH",0.000125097,"WT"
"887","LCOR-501","CT3","08-14-2023","GDH",0.001066469,"WT"
"888","LCOR-502","CT3","08-14-2023","GDH",0.00021944,"WT"
"889","LCOR-079","13-15E","08-14-2023","MS",0.690617504,"high"
"890","LCOR-084","13-15E","08-14-2023","MS",0.050027496,"high"
"891","LCOR-301","13-15E","08-14-2023","MS",1.003673997,"high"
"892","LCOR-303","13-15E","08-14-2023","MS",1.994785662,"high"
"893","LCOR-610","13-15E","08-14-2023","MS",2.653458016,"high"
"894","LCOR-611","13-15E","08-14-2023","MS",2.127538391,"high"
"895","LCOR-101","16-20","08-14-2023","MS",3.69591e-05,"Control"
"896","LCOR-102","16-20","08-14-2023","MS",0.000223488,"Control"
"897","LCOR-319","16-20","08-14-2023","MS",0.000441954,"Control"
"898","LCOR-505","16-20","08-14-2023","MS",2.67898e-05,"Control"
"899","LCOR-506","16-20","08-14-2023","MS",5.27344e-05,"Control"
"900","LCOR-507","16-20","08-14-2023","MS",0.000452548,"Control"
"901","LCOR-064","2H","08-14-2023","MS",0.424804989,"high"
"902","LCOR-069","2H","08-14-2023","MS",1.77848538,"high"
"903","LCOR-449","2H","08-14-2023","MS",1.346587827,"high"
"904","LCOR-450","2H","08-14-2023","MS",0.902526308,"high"
"905","LCOR-460","2H","08-14-2023","MS",2.002605719,"high"
"906","LCOR-461","2H","08-14-2023","MS",3.478706833,"high"
"907","LCOR-001","4A","08-14-2023","MS",2.157983865,"intermediate"
"908","LCOR-003","4A","08-14-2023","MS",1.091461493,"intermediate"
"909","LCOR-227","4A","08-14-2023","MS",1.136844333,"intermediate"
"910","LCOR-230","4A","08-14-2023","MS",0.911457554,"intermediate"
"911","LCOR-234","4A","08-14-2023","MS",1.348532045,"intermediate"
"912","LCOR-544","4A","08-14-2023","MS",0.931231524,"intermediate"
"913","LCOR-162","5A","08-14-2023","MS",1.611218057,"intermediate"
"914","LCOR-163","5A","08-14-2023","MS",1.879945821,"intermediate"
"915","LCOR-242","5A","08-14-2023","MS",2.013904938,"intermediate"
"916","LCOR-582","5A","08-14-2023","MS",2.21715515,"intermediate"
"917","LCOR-585","5A","08-14-2023","MS",0.713228647,"intermediate"
"918","LCOR-586","5A","08-14-2023","MS",1.808921654,"intermediate"
"919","LCOR-033","5C","08-14-2023","MS",1.430163366,"intermediate"
"920","LCOR-042","5C","08-14-2023","MS",1.907344332,"intermediate"
"921","LCOR-275","5C","08-14-2023","MS",1.054641325,"intermediate"
"922","LCOR-279","5C","08-14-2023","MS",1.625767825,"intermediate"
"923","LCOR-568","5C","08-14-2023","MS",0.834895937,"intermediate"
"924","LCOR-572","5C","08-14-2023","MS",1.661885464,"intermediate"
"925","LCOR-092","8-9D","08-14-2023","MS",0,"Control"
"926","LCOR-095","8-9D","08-14-2023","MS",0.000149003,"Control"
"927","LCOR-098","8-9D","08-14-2023","MS",0,"Control"
"928","LCOR-290","8-9D","08-14-2023","MS",0,"Control"
"929","LCOR-292","8-9D","08-14-2023","MS",0.000121413,"Control"
"930","LCOR-417","8-9D","08-14-2023","MS",0.000872975,"Control"
"931","LCOR-207","CT3","08-14-2023","MS",3.60252e-05,"WT"
"932","LCOR-347","CT3","08-14-2023","MS",6.84076e-05,"WT"
"933","LCOR-494","CT3","08-14-2023","MS",0.003255284,"WT"
"934","LCOR-495","CT3","08-14-2023","MS",0.000116274,"WT"
"935","LCOR-501","CT3","08-14-2023","MS",0.001532827,"WT"
"936","LCOR-502","CT3","08-14-2023","MS",0.000255843,"WT"
