Chaney,Measured,"January 27th, February 1st, February 8th",,,,,
row,column,ID,construct,event,DBH,H,
1,8,LCOR-1005,wt,NA,25,11.3,
2,8,LCOR-179,LC102,LC-102 1C,36,16.1,
3,8,LCOR-036,LC102,LC-102 5C,40,17.1,
4,8,LCOR-279,LC102,LC-102 5C,35,14.8,
5,8,LCOR-078,LC102,LC-102 13-15E,34,11.7,
6,8,LCOR-582,LC102,LC-102 5A,34,15.8,
7,8,LCOR-385,LC102,LC-102 7,30,14.2,
8,8,LCOR-250,LC102,LC-102 5A,30,13.9,
9,8,LCOR-034,LC102,LC-102 5C,36,15,
10,8,LCOR-255,LC102,LC-102 4B,29,13.8,
11,8,LCOR-238,LC102,LC-102 4A,25,11.8,
12,8,LCOR-254,LC102,LC-102 4B,19,9,
13,8,LCOR-469,LC102,LC-102 13-15B,35,12.1,
14,8,LCOR-167,LC102,LC-102 5A,38,17.3,
15,8,LCOR-274,LC102,LC-102 5C,20,9.4,
16,8,LCOR-1114,wt,NA,22,10.2,
1,9,LCOR-1006,wt,NA,49,15.9,
2,9,LCOR-581,LC102,LC-102 5A,42,15.9,
3,9,LCOR-001,LC102,LC-102 4A,36,16.3,
4,9,LCOR-342,CT717,CT717 3,29,13.3,
5,9,LCOR-471,LC102,LC-102 13-15B,35,15,
6,9,LCOR-380,LC102,LC-102 7,32,15.2,
7,9,LCOR-076,LC102,LC-102 13-15E,26,12.9,
8,9,LCOR-163,LC102,LC-102 5A,34,15.6,
9,9,LCOR-609,LC102,LC-102 13-15E,18,9.8,
10,9,LCOR-217,LC102,LC-102 2H,30,12.9,
11,9,LCOR-231,LC102,LC-102 4A,28,12.9,
12,9,LCOR-075,LC102,LC-102 13-15E,14,7.7,
13,9,LCOR-504,CT717,CT717 3,19,9.4,
14,9,LCOR-511,LC102,LC-102 16-20,22,11.2,
15,9,LCOR-041,LC102,LC-102 5C,28,10.5,
16,9,LCOR-1121,wt,NA,22,11.1,
1,10,LCOR-1007,wt,NA,25,11.4,
2,10,LCOR-1029,wt,NA,17,9,
3,10,LCOR-023,LC102,LC-102 4B,30,12.8,
4,10,LCOR-020,LC102,LC-102 4B,24,10.1,
5,10,LCOR-010,LC102,LC-102 4A,23,11.7,
6,10,LCOR-292,LC102,LC-102 8-9D,23,11.7,
7,10,LCOR-420,LC102,LC-102 8-9D,22,12.8,
8,10,LCOR-157,LC102,LC-102 5A,28,12.9,
9,10,LCOR-226,LC102,LC-102 4A,21,10.1,
10,10,LCOR-263,LC102,LC-102 4B,26,12.5,
11,10,LCOR-018,LC102,LC-102 4B,28,13.5,
12,10,LCOR-286,LC102,LC-102 8-9D,22,11.2,
13,10,LCOR-133,LC102,LC-102 5,20,9.9,
14,10,LCOR-039,LC102,LC-102 5C,25,11.4,
15,10,LCOR-203,CT717,CT717 3,23,11.4,
16,10,LCOR-1131,wt,NA,22,10.1,
1,11,LCOR-1008,wt,NA,27,12.8,
2,11,LCOR-164,LC102,LC-102 5A,25,12.1,
3,11,LCOR-529,LC102,LC-102 5,25,12.7,
4,11,LCOR-386,LC102,LC-102 7,23,11.1,
5,11,LCOR-028,LC102,LC-102 4B,25,11.1,
6,11,LCOR-527,LC102,LC-102 5,30,14.2,
7,11,LCOR-141,LC102,LC-102 7,24,12.5,
8,11,LCOR-150,LC102,LC-102 7,26,13.1,
9,11,LCOR-233,LC102,LC-102 4A,21,11.8,
10,11,LCOR-161,LC102,LC-102 5A,22,11.3,
11,11,LCOR-019,LC102,LC-102 4B,19,9.5,
12,11,LCOR-360,LC102,LC-102 1,22,11.6,
13,11,LCOR-289,LC102,LC-102 8-9D,24,12.9,
14,11,LCOR-040,LC102,LC-102 5C,18,9.5,
15,11,LCOR-324,CT717,CT717 1,20,9.4,
16,11,LCOR-1139,wt,NA,21,10.1,
1,12,LCOR-1009,wt,NA,26,11.1,
2,12,LCOR-180,LC102,LC-102 1C,25,11,
3,12,LCOR-403,LC102,LC-102 1C,26,12.2,
4,12,LCOR-364,LC102,LC-102 1,22,11.7,
5,12,LCOR-277,LC102,LC-102 5C,27,12.6,
6,12,LCOR-115,CT717,CT717 1,27,12.7,
7,12,LCOR-111,LC102,LC-102 16-20,27,12.4,
8,12,LCOR-303,LC102,LC-102 13-15E,23,11.5,
9,12,LCOR-588,LC102,LC-102 5A,21,11.2,
10,12,LCOR-561,LC102,LC-102 5C,23,12.3,
11,12,LCOR-035,LC102,LC-102 5C,25,12.2,
12,12,LCOR-241,LC102,LC-102 5A,25,12.1,
13,12,LCOR-218,LC102,LC-102 2H,24,11,
14,12,LCOR-002,LC102,LC-102 4A,16,8.3,
15,12,LCOR-026,LC102,LC-102 4B,27,12.7,
16,12,LCOR-1201,wt,NA,23,11.5,
1,13,LCOR-1010,wt,NA,29,12.1,
2,13,LCOR-066,LC102,LC-102 2H,18,9.2,
3,13,LCOR-423,LC102,LC-102 4B,19,10.2,
4,13,LCOR-200,CT717,CT717 3,24,11.5,
5,13,LCOR-332,CT717,CT717 1,24,11.5,
6,13,LCOR-137,LC102,LC-102 5,22,11.1,
7,13,LCOR-338,CT717,CT717 3,27,11.9,
8,13,LCOR-544,LC102,LC-102 4A,20,9.8,
9,13,LCOR-320,LC102,LC-102 16-20,25,11.7,
10,13,LCOR-077,LC102,LC-102 13-15E,27,13.1,
11,13,LCOR-593,CT717,CT717 1,26,12.8,
12,13,LCOR-088,LC102,LC-102 8-9D,28,11.7,
13,13,LCOR-030,LC102,LC-102 5C,26,12.9,
14,13,LCOR-156,LC102,LC-102 5A,25,11.9,
15,13,LCOR-051,LC102,LC-102 1,21,10.8,
16,13,LCOR-1203,wt,NA,26,11.4,
1,14,LCOR-1011,wt,NA,15,7.8,
2,14,LCOR-060,LC102,LC-102 2H,20,9.8,
3,14,LCOR-604,LC102,LC-102 13-15E,34,14.7,
4,14,LCOR-368,LC102,LC-102 5,21,11.1,
5,14,LCOR-046,LC102,LC-102 1,26,12.2,
6,14,LCOR-031,LC102,LC-102 5C,25,11.8,
7,14,LCOR-347,CT717,CT717 3,24,11.7,
8,14,LCOR-176,LC102,LC-102 1C,24,12.6,
9,14,LCOR-269,LC102,LC-102 5C,26,12.8,
10,14,LCOR-147,LC102,LC-102 7,27,12.4,
11,14,LCOR-257,LC102,LC-102 4B,26,12.5,
12,14,LCOR-256,LC102,LC-102 4B,29,12.9,
13,14,LCOR-014,LC102,LC-102 4A,28,13.6,
14,14,LCOR-091,LC102,LC-102 8-9D,29,13.1,
15,14,LCOR-264,LC102,LC-102 4B,21,10,
16,14,LCOR-1206,wt,NA,22,9.9,
1,15,LCOR-116,CT717,CT717 1,16,7.9,
2,15,LCOR-486,LC102,LC-102 1C,28,12.3,
3,15,LCOR-174,LC102,LC-102 1C,,,dead
4,15,LCOR-357,LC102,LC-102 1,27,11.8,
5,15,LCOR-473,LC102,LC-102 13-15B,19,11.9,
6,15,LCOR-525,LC102,LC-102 5,32,14.3,
7,15,LCOR-437,LC102,LC-102 1,29,13.7,
8,15,LCOR-550,LC102,LC-102 7,26,12.7,
9,15,LCOR-307,LC102,LC-102 13-15E,20,9.1,
10,15,LCOR-449,LC102,LC-102 2H,28,13.1,
11,15,LCOR-507,LC102,LC-102 16-20,28,12.9,
12,15,LCOR-154,LC102,LC-102 7,31,14.1,
13,15,LCOR-562,LC102,LC-102 5C,26,13.1,
14,15,LCOR-334,CT717,CT717 1,27,12.8,
15,15,LCOR-393,LC102,LC-102 1C,23,12,
16,15,LCOR-1070,wt,NA,22,10.9,
1,16,LCOR-442,LC102,LC-102 1,21,9.9,
2,16,LCOR-247,LC102,LC-102 5A,25,11.8,
3,16,LCOR-611,LC102,LC-102 13-15E,19,9.2,
4,16,LCOR-327,CT717,CT717 1,22,11.1,
5,16,LCOR-528,LC102,LC-102 5,18,8.3,
6,16,LCOR-072,LC102,LC-102 13-15E,21,8.7,
7,16,LCOR-610,LC102,LC-102 13-15E,21,10.3,
8,16,LCOR-516,LC102,LC-102 16-20,14,7.5,
9,16,LCOR-280,LC102,LC-102 5C,21,10.7,
10,16,LCOR-033,LC102,LC-102 5C,22,10.8,
11,16,LCOR-331,CT717,CT717 1,20,10.2,
12,16,LCOR-372,LC102,LC-102 5,22,11.5,
13,16,LCOR-105,LC102,LC-102 16-20,16,8.4,
14,16,LCOR-352,LC102,LC-102 1,23,11.7,
15,16,LCOR-614,LC102,LC-102 13-15E,19,8.9,
16,16,LCOR-1035,wt,NA,22,11.2,
1,17,LCOR-376,LC102,LC-102 5,22,11.1,
2,17,LCOR-016,LC102,LC-102 4B,21,10.6,
3,17,LCOR-132,LC102,LC-102 5,25,12.1,
4,17,LCOR-574,LC102,LC-102 5C,25,12.1,
5,17,LCOR-079,LC102,LC-102 13-15E,19,9.3,
6,17,LCOR-458,LC102,LC-102 2H,23,11.5,
7,17,LCOR-411,LC102,LC-102 8-9D,28,12,
8,17,LCOR-394,LC102,LC-102 1C,29,13.5,
9,17,LCOR-275,LC102,LC-102 5C,22,10.5,
10,17,LCOR-601,CT717,CT717 1,21,11,
11,17,LCOR-252,LC102,LC-102 5A,18,9,
12,17,LCOR-134,LC102,LC-102 5,23,10.2,
13,17,LCOR-502,CT717,CT717 3,24,10.9,
14,17,LCOR-481,LC102,LC-102 1C,21,10.7,
15,17,LCOR-271,LC102,LC-102 5C,26,12.3,
16,17,LCOR-1062,wt,NA,24,12,
1,18,LCOR-377,LC102,LC-102 5,24,11.9,
2,18,LCOR-058,LC102,LC-102 2H,23,10.3,
3,18,LCOR-052,LC102,LC-102 1,19,9.1,
4,18,LCOR-475,LC102,LC-102 13-15B,23,11.3,
5,18,LCOR-085,LC102,LC-102 8-9D,22,11.3,
6,18,LCOR-351,LC102,LC-102 1,22,10.2,
7,18,LCOR-053,LC102,LC-102 1,,,dead
8,18,LCOR-302,LC102,LC-102 13-15E,,,dead
9,18,LCOR-1069,wt,NA,5,3.1,
10,18,LCOR-306,LC102,LC-102 13-15E,26,11.7,
11,18,LCOR-392,LC102,LC-102 7,25,11.5,
12,18,LCOR-243,LC102,LC-102 5A,29,13.7,
13,18,LCOR-572,LC102,LC-102 5C,23,11.1,
14,18,LCOR-463,LC102,LC-102 13-15B,23,11.1,
15,18,LCOR-260,LC102,LC-102 4B,26,12.2,
16,18,LCOR-1077,wt,NA,30,12.8,
1,19,LCOR-548,LC102,LC-102 7,17,8.1,
2,19,LCOR-057,LC102,LC-102 2H,,,dead
3,19,LCOR-406,LC102,LC-102 1C,17,8.7,
4,19,LCOR-089,LC102,LC-102 8-9D,20,10.4,
5,19,LCOR-491,CT717,CT717 3,20,9.7,
6,19,LCOR-121,CT717,CT717 1,24,11.8,
7,19,LCOR-585,LC102,LC-102 5A,19,7.9,
8,19,LCOR-554,LC102,LC-102 7,25,12.2,
9,19,LCOR-152,LC102,LC-102 7,28,12.5,
10,19,LCOR-558,LC102,LC-102 7,20,10.4,
11,19,LCOR-138,LC102,LC-102 5,19,9.4,
12,19,LCOR-383,LC102,LC-102 7,18,8.5,
13,19,LCOR-568,LC102,LC-102 5C,19,9.2,
14,19,LCOR-080,LC102,LC-102 13-15E,15,7.9,
15,19,LCOR-391,LC102,LC-102 7,24,11.1,
16,19,LCOR-1086,wt,NA,14,6.8,
1,20,LCOR-553,LC102,LC-102 7,23,10.9,
2,20,LCOR-162,LC102,LC-102 5A,25,11.4,
3,20,LCOR-242,LC102,LC-102 5A,24,11.6,
4,20,LCOR-330,CT717,CT717 1,23,9.9,
5,20,LCOR-166,LC102,LC-102 5A,23,10.9,
6,20,LCOR-512,LC102,LC-102 16-20,22,9.7,
7,20,LCOR-059,LC102,LC-102 2H,28,12.7,
8,20,LCOR-101,LC102,LC-102 16-20,27,13,
9,20,LCOR-067,LC102,LC-102 2H,23,11.5,
10,20,LCOR-1100,wt,NA,12,7.2,
11,20,LCOR-103,LC102,LC-102 16-20,20,10.8,
12,20,LCOR-230,LC102,LC-102 4A,27,12.2,
13,20,LCOR-534,LC102,LC-102 4A,23,11.8,
14,20,LCOR-261,LC102,LC-102 4B,15,12,
15,20,LCOR-493,CT717,CT717 3,19,10.2,
16,20,LCOR-1087,wt,NA,23,11.2,
1,21,LCOR-468,LC102,LC-102 13-15B,20,9.1,
2,21,LCOR-098,LC102,LC-102 8-9D,23,9.7,
3,21,LCOR-482,LC102,LC-102 1C,24,10.4,
4,21,LCOR-350,CT717,CT717 3,24,10.1,
5,21,LCOR-129,LC102,LC-102 5,24,11.1,
6,21,LCOR-012,LC102,LC-102 4A,27,12.8,
7,21,LCOR-248,LC102,LC-102 5A,27,12.5,
8,21,LCOR-476,LC102,LC-102 13-15B,22,10.6,
9,21,LCOR-584,LC102,LC-102 5A,24,11.2,
10,21,LCOR-518,LC102,LC-102 16-20,23,11.8,
11,21,LCOR-450,LC102,LC-102 2H,22,10.4,
12,21,LCOR-017,LC102,LC-102 4B,23,11.9,
13,21,LCOR-495,CT717,CT717 3,28,13.1,
14,21,LCOR-144,LC102,LC-102 7,21,11,
15,21,LCOR-204,CT717,CT717 3,22,11.2,
16,21,LCOR-1142,wt,NA,18,9.8,
1,22,LCOR-470,LC102,LC-102 13-15B,17,8.3,
2,22,LCOR-616,LC102,LC-102 13-15E,20,9.6,
3,22,LCOR-245,LC102,LC-102 5A,13,6.9,
4,22,LCOR-165,LC102,LC-102 5A,20,9.5,
5,22,LCOR-209,CT717,CT717 3,25,11.5,
6,22,LCOR-340,CT717,CT717 3,23,8.3,
7,22,LCOR-326,CT717,CT717 1,25,11.8,
8,22,LCOR-149,LC102,LC-102 7,23,9.6,
9,22,LCOR-1015,wt,NA,10.2,6.5,
10,22,LCOR-169,LC102,LC-102 1C,21,10.9,
11,22,LCOR-063,LC102,LC-102 2H,24,12,
12,22,LCOR-483,LC102,LC-102 1C,25,11.9,
13,22,LCOR-514,LC102,LC-102 16-20,24,10.7,
14,22,LCOR-266,LC102,LC-102 4B,25,11.1,
15,22,LCOR-122,CT717,CT717 1,20,11.1,
16,22,LCOR-1148,wt,NA,20,10.5,
1,23,LCOR-485,LC102,LC-102 1C,30,12.3,
2,23,LCOR-398,LC102,LC-102 1C,20,8.9,
3,23,LCOR-171,LC102,LC-102 1C,16,8.5,
4,23,LCOR-422,LC102,LC-102 4B,23,11.1,
5,23,LCOR-319,LC102,LC-102 16-20,17,9.2,
6,23,LCOR-106,LC102,LC-102 16-20,23,9.8,
7,23,LCOR-445,LC102,LC-102 1,25,11.7,
8,23,LCOR-401,LC102,LC-102 1C,21,9.4,
9,23,LCOR-291,LC102,LC-102 8-9D,23,10.5,
10,23,LCOR-207,CT717,CT717 3,22,11.7,
11,23,LCOR-090,LC102,LC-102 8-9D,32,14.1,
12,23,LCOR-015,LC102,LC-102 4B,23,11.5,
13,23,LCOR-202,CT717,CT717 3,26,11.7,
14,23,LCOR-290,LC102,LC-102 8-9D,28,13.4,
15,23,LCOR-333,CT717,CT717 1,22,9.8,
16,23,LCOR-1155,wt,NA,22,10.5,
1,24,LCOR-489,LC102,LC-102 1C,21,9.9,
2,24,LCOR-178,LC102,LC-102 1C,22,11.4,
3,24,LCOR-367,LC102,LC-102 5,21,10.3,
4,24,LCOR-608,LC102,LC-102 13-15E,23,10.9,
5,24,LCOR-229,LC102,LC-102 4A,26,12.1,
6,24,LCOR-503,CT717,CT717 3,20,9.8,
7,24,LCOR-339,CT717,CT717 3,24,11.7,
8,24,LCOR-348,CT717,CT717 3,23,11,
9,24,LCOR-182,LC102,LC-102 1C,23,11.2,
10,24,LCOR-546,LC102,LC-102 4A,25,12,
11,24,LCOR-212,LC102,LC-102 2H,25,11.5,
12,24,LCOR-404,LC102,LC-102 1C,26,11.9,
13,24,LCOR-084,LC102,LC-102 13-15E,31,14.1,
14,24,LCOR-309,LC102,LC-102 16-20,27,13.1,
15,24,LCOR-318,LC102,LC-102 16-20,21,10.2,
16,24,LCOR-1162,wt,NA,26,12.4,
1,25,LCOR-214,LC102,LC-102 2H,22,10,
2,25,LCOR-192,LC102,LC-102 13-15B,19,9.4,
3,25,LCOR-130,LC102,LC-102 5,22,11.1,
4,25,LCOR-606,LC102,LC-102 13-15E,22,9.7,
5,25,LCOR-022,LC102,LC-102 4B,25,11.9,
6,25,LCOR-434,LC102,LC-102 4B,27,12.8,
7,25,LCOR-160,LC102,LC-102 5A,28,13.6,
8,25,LCOR-199,CT717,CT717 3,21,9.6,
9,25,LCOR-506,LC102,LC-102 16-20,20,10.3,
10,25,LCOR-049,LC102,LC-102 1,24,11.9,
11,25,LCOR-065,LC102,LC-102 2H,25,11.3,
12,25,LCOR-055,LC102,LC-102 1,29,13.3,
13,25,LCOR-448,LC102,LC-102 1,23,10.8,
14,25,LCOR-379,LC102,LC-102 7,27,13.3,
15,25,LCOR-301,LC102,LC-102 13-15E,23,11.9,
16,25,LCOR-1180,wt,NA,27,13.2,
1,26,LCOR-462,LC102,LC-102 2H,21,9.5,
2,26,LCOR-293,LC102,LC-102 8-9D,28,12.7,
3,26,LCOR-605,LC102,LC-102 13-15E,21,10,
4,26,LCOR-170,LC102,LC-102 1C,28,12.8,
5,26,LCOR-487,LC102,LC-102 1C,27,12.7,
6,26,LCOR-278,LC102,LC-102 5C,25,11.5,
7,26,LCOR-613,LC102,LC-102 13-15E,22,10.5,
8,26,LCOR-300,LC102,LC-102 13-15E,20,9.9,
9,26,LCOR-341,CT717,CT717 3,20,9.4,
10,26,LCOR-095,LC102,LC-102 8-9D,16,8.3,
11,26,LCOR-361,LC102,LC-102 1,19,9.8,
12,26,LCOR-387,LC102,LC-102 7,23,11.7,
13,26,LCOR-356,LC102,LC-102 1,22,10.6,
14,26,LCOR-484,LC102,LC-102 1C,11,11.2,
15,26,LCOR-508,LC102,LC-102 16-20,28,12.6,
16,26,LCOR-1178,wt,NA,31,14.3,
1,27,LCOR-533,LC102,LC-102 4A,23,10.3,
2,27,LCOR-441,LC102,LC-102 1,29,12.8,
3,27,LCOR-126,CT717,CT717 1,25,11.3,
4,27,LCOR-399,LC102,LC-102 1C,27,12.3,
5,27,LCOR-323,CT717,CT717 1,16,7.1,
6,27,LCOR-061,LC102,LC-102 2H,16,7.8,
7,27,LCOR-197,CT717,CT717 3,19,9.9,
8,27,LCOR-373,LC102,LC-102 5,21,9.7,
9,27,LCOR-206,CT717,CT717 3,19,10,
10,27,LCOR-322,LC102,LC-102 16-20,27,11.2,
11,27,LCOR-048,LC102,LC-102 1,21,10.7,
12,27,LCOR-175,LC102,LC-102 1C,26,12.5,
13,27,LCOR-295,LC102,LC-102 13-15E,21,10.6,
14,27,LCOR-388,LC102,LC-102 7,21,11,
15,27,LCOR-429,LC102,LC-102 4B,24,11.3,
16,27,LCOR-1016,wt,NA,26,12.6,
1,28,LCOR-537,LC102,LC-102 4A,23,10.2,
2,28,LCOR-276,LC102,LC-102 5C,15,7.6,
3,28,LCOR-086,LC102,LC-102 8-9D,15,7.4,
4,28,LCOR-425,LC102,LC-102 4B,23,11.2,
5,28,LCOR-596,CT717,CT717 1,21,9.5,
6,28,LCOR-227,LC102,LC-102 4A,21,10.4,
7,28,LCOR-335,CT717,CT717 1,21,10.5,
8,28,LCOR-128,LC102,LC-102 5,24,12,
9,28,LCOR-551,LC102,LC-102 7,24,11.6,
10,28,LCOR-337,CT717,CT717 3,22,11.2,
11,28,LCOR-096,LC102,LC-102 8-9D,23,10.1,
12,28,LCOR-405,LC102,LC-102 1C,27,13.1,
13,28,LCOR-559,LC102,LC-102 7,23,11.7,
14,28,LCOR-1018,wt,NA,13,6.4,
15,28,LCOR-083,LC102,LC-102 13-15E,22,10.6,
16,28,LCOR-1020,wt,NA,,,
1,29,LCOR-024,LC102,LC-102 4B,21,8.4,
2,29,LCOR-557,LC102,LC-102 7,22,10.9,
3,29,LCOR-297,LC102,LC-102 13-15E,15,7.1,
4,29,LCOR-381,LC102,LC-102 7,11,4.8,
5,29,LCOR-382,LC102,LC-102 7,16,7.1,
6,29,LCOR-185,LC102,LC-102 13-15B,22,9.9,
7,29,LCOR-044,LC102,LC-102 1,22,10.2,
8,29,LCOR-600,CT717,CT717 1,20,8.7,
9,29,LCOR-127,LC102,LC-102 5,24,11.4,
10,29,LCOR-1048,wt,NA,,,
11,29,LCOR-1054,wt,NA,,,
12,29,LCOR-1049,wt,NA,,,
13,29,LCOR-1103,wt,NA,,,
14,29,LCOR-1122,wt,NA,,,
15,29,LCOR-1124,wt,NA,,,
16,29,LCOR-1134,wt,NA,,,
1,30,LCOR-424,LC102,LC-102 4B,18,7.2,
2,30,LCOR-1025,wt,NA,15,7,
3,30,LCOR-583,LC102,LC-102 5A,16,7.6,
4,30,LCOR-093,LC102,LC-102 8-9D,7,8.6,
5,30,LCOR-281,LC102,LC-102 8-9D,16,7.3,
6,30,LCOR-1073,wt,NA,,,
7,30,LCOR-1082,wt,NA,,,
8,30,LCOR-1095,wt,NA,,,
9,30,LCOR-1244,wt,NA,,,
10,30,LCOR-1052,wt,NA,,,
11,30,LCOR-1202,wt,NA,,,
12,30,LCOR-1210,wt,NA,,,
13,30,LCOR-1154,wt,NA,,,
14,30,LCOR-1099,wt,NA,,,
15,30,LCOR-1140,wt,NA,,,
16,30,LCOR-1161,wt,NA,,,
1,44,LCOR-1028,wt,NA,,,
2,44,LCOR-1169,wt,NA,,,
3,44,LCOR-1245,wt,NA,,,
4,44,LCOR-1014,wt,NA,,,
5,44,LCOR-1034,wt,NA,,,
6,44,LCOR-1118,wt,NA,,,
