"","Datetime","soil_water_content"
"1",2023-07-19 11:30:00,0.09
"2",2023-07-19 11:45:00,0.193
"3",2023-07-19 12:00:00,0.216
"4",2023-07-19 12:15:00,0.216
"5",2023-07-19 12:30:00,0.216
"6",2023-07-19 12:45:00,0.216
"7",2023-07-19 13:00:00,0.215
"8",2023-07-19 13:15:00,0.215
"9",2023-07-19 13:30:00,0.215
"10",2023-07-19 13:45:00,0.215
"11",2023-07-19 14:00:00,0.215
"12",2023-07-19 14:15:00,0.215
"13",2023-07-19 14:30:00,0.215
"14",2023-07-19 14:45:00,0.215
"15",2023-07-19 15:00:00,0.215
"16",2023-07-19 15:15:00,0.215
"17",2023-07-19 15:30:00,0.215
"18",2023-07-19 15:45:00,0.215
"19",2023-07-19 16:00:00,0.215
"20",2023-07-19 16:15:00,0.215
"21",2023-07-19 16:30:00,0.215
"22",2023-07-19 16:45:00,0.215
"23",2023-07-19 17:00:00,0.215
"24",2023-07-19 17:15:00,0.215
"25",2023-07-19 17:30:00,0.215
"26",2023-07-19 17:45:00,0.215
"27",2023-07-19 18:00:00,0.215
"28",2023-07-19 18:15:00,0.215
"29",2023-07-19 18:30:00,0.215
"30",2023-07-19 18:45:00,0.215
"31",2023-07-19 19:00:00,0.214
"32",2023-07-19 19:15:00,0.214
"33",2023-07-19 19:30:00,0.214
"34",2023-07-19 19:45:00,0.214
"35",2023-07-19 20:00:00,0.214
"36",2023-07-19 20:15:00,0.214
"37",2023-07-19 20:30:00,0.214
"38",2023-07-19 20:45:00,0.214
"39",2023-07-19 21:00:00,0.214
"40",2023-07-19 21:15:00,0.214
"41",2023-07-19 21:30:00,0.214
"42",2023-07-19 21:45:00,0.214
"43",2023-07-19 22:00:00,0.214
"44",2023-07-19 22:15:00,0.214
"45",2023-07-19 22:30:00,0.214
"46",2023-07-19 22:45:00,0.214
"47",2023-07-19 23:00:00,0.214
"48",2023-07-19 23:15:00,0.214
"49",2023-07-19 23:30:00,0.214
"50",2023-07-19 23:45:00,0.214
"51",2023-07-20,0.214
"52",2023-07-20 00:15:00,0.214
"53",2023-07-20 00:30:00,0.214
"54",2023-07-20 00:45:00,0.214
"55",2023-07-20 01:00:00,0.214
"56",2023-07-20 01:15:00,0.214
"57",2023-07-20 01:30:00,0.214
"58",2023-07-20 01:45:00,0.214
"59",2023-07-20 02:00:00,0.214
"60",2023-07-20 02:15:00,0.214
"61",2023-07-20 02:30:00,0.214
"62",2023-07-20 02:45:00,0.214
"63",2023-07-20 03:00:00,0.214
"64",2023-07-20 03:15:00,0.214
"65",2023-07-20 03:30:00,0.214
"66",2023-07-20 03:45:00,0.214
"67",2023-07-20 04:00:00,0.214
"68",2023-07-20 04:15:00,0.214
"69",2023-07-20 04:30:00,0.214
"70",2023-07-20 04:45:00,0.214
"71",2023-07-20 05:00:00,0.214
"72",2023-07-20 05:15:00,0.214
"73",2023-07-20 05:30:00,0.214
"74",2023-07-20 05:45:00,0.214
"75",2023-07-20 06:00:00,0.214
"76",2023-07-20 06:15:00,0.214
"77",2023-07-20 06:30:00,0.214
"78",2023-07-20 06:45:00,0.214
"79",2023-07-20 07:00:00,0.214
"80",2023-07-20 07:15:00,0.214
"81",2023-07-20 07:30:00,0.214
"82",2023-07-20 07:45:00,0.214
"83",2023-07-20 08:00:00,0.214
"84",2023-07-20 08:15:00,0.214
"85",2023-07-20 08:30:00,0.214
"86",2023-07-20 08:45:00,0.214
"87",2023-07-20 09:00:00,0.214
"88",2023-07-20 09:15:00,0.214
"89",2023-07-20 09:30:00,0.214
"90",2023-07-20 09:45:00,0.213
"91",2023-07-20 10:00:00,0.213
"92",2023-07-20 10:15:00,0.213
"93",2023-07-20 10:30:00,0.214
"94",2023-07-20 10:45:00,0.214
"95",2023-07-20 11:00:00,0.213
"96",2023-07-20 11:15:00,0.214
"97",2023-07-20 11:30:00,0.213
"98",2023-07-20 11:45:00,0.213
"99",2023-07-20 12:00:00,0.213
"100",2023-07-20 12:15:00,0.213
"101",2023-07-20 12:30:00,0.213
"102",2023-07-20 12:45:00,0.213
"103",2023-07-20 13:00:00,0.213
"104",2023-07-20 13:15:00,0.213
"105",2023-07-20 13:30:00,0.213
"106",2023-07-20 13:45:00,0.213
"107",2023-07-20 14:00:00,0.213
"108",2023-07-20 14:15:00,0.213
"109",2023-07-20 14:30:00,0.213
"110",2023-07-20 14:45:00,0.213
"111",2023-07-20 15:00:00,0.213
"112",2023-07-20 15:15:00,0.213
"113",2023-07-20 15:30:00,0.213
"114",2023-07-20 15:45:00,0.213
"115",2023-07-20 16:00:00,0.213
"116",2023-07-20 16:15:00,0.213
"117",2023-07-20 16:30:00,0.213
"118",2023-07-20 16:45:00,0.213
"119",2023-07-20 17:00:00,0.213
"120",2023-07-20 17:15:00,0.213
"121",2023-07-20 17:30:00,0.213
"122",2023-07-20 17:45:00,0.213
"123",2023-07-20 18:00:00,0.213
"124",2023-07-20 18:15:00,0.213
"125",2023-07-20 18:30:00,0.213
"126",2023-07-20 18:45:00,0.213
"127",2023-07-20 19:00:00,0.213
"128",2023-07-20 19:15:00,0.213
"129",2023-07-20 19:30:00,0.213
"130",2023-07-20 19:45:00,0.213
"131",2023-07-20 20:00:00,0.213
"132",2023-07-20 20:15:00,0.213
"133",2023-07-20 20:30:00,0.213
"134",2023-07-20 20:45:00,0.213
"135",2023-07-20 21:00:00,0.213
"136",2023-07-20 21:15:00,0.213
"137",2023-07-20 21:30:00,0.213
"138",2023-07-20 21:45:00,0.213
"139",2023-07-20 22:00:00,0.213
"140",2023-07-20 22:15:00,0.213
"141",2023-07-20 22:30:00,0.213
"142",2023-07-20 22:45:00,0.213
"143",2023-07-20 23:00:00,0.213
"144",2023-07-20 23:15:00,0.213
"145",2023-07-20 23:30:00,0.213
"146",2023-07-20 23:45:00,0.213
"147",2023-07-21,0.213
"148",2023-07-21 00:15:00,0.213
"149",2023-07-21 00:30:00,0.213
"150",2023-07-21 00:45:00,0.213
"151",2023-07-21 01:00:00,0.213
"152",2023-07-21 01:15:00,0.213
"153",2023-07-21 01:30:00,0.213
"154",2023-07-21 01:45:00,0.213
"155",2023-07-21 02:00:00,0.213
"156",2023-07-21 02:15:00,0.213
"157",2023-07-21 02:30:00,0.213
"158",2023-07-21 02:45:00,0.213
"159",2023-07-21 03:00:00,0.213
"160",2023-07-21 03:15:00,0.213
"161",2023-07-21 03:30:00,0.213
"162",2023-07-21 03:45:00,0.213
"163",2023-07-21 04:00:00,0.213
"164",2023-07-21 04:15:00,0.213
"165",2023-07-21 04:30:00,0.213
"166",2023-07-21 04:45:00,0.213
"167",2023-07-21 05:00:00,0.213
"168",2023-07-21 05:15:00,0.213
"169",2023-07-21 05:30:00,0.214
"170",2023-07-21 05:45:00,0.214
"171",2023-07-21 06:00:00,0.214
"172",2023-07-21 06:15:00,0.214
"173",2023-07-21 06:30:00,0.214
"174",2023-07-21 06:45:00,0.214
"175",2023-07-21 07:00:00,0.213
"176",2023-07-21 07:15:00,0.213
"177",2023-07-21 07:30:00,0.213
"178",2023-07-21 07:45:00,0.213
"179",2023-07-21 08:00:00,0.213
"180",2023-07-21 08:15:00,0.213
"181",2023-07-21 08:30:00,0.213
"182",2023-07-21 08:45:00,0.213
"183",2023-07-21 09:00:00,0.213
"184",2023-07-21 09:15:00,0.213
"185",2023-07-21 09:30:00,0.213
"186",2023-07-21 09:45:00,0.213
"187",2023-07-21 10:00:00,0.213
"188",2023-07-21 10:15:00,0.213
"189",2023-07-21 10:30:00,0.213
"190",2023-07-21 10:45:00,0.213
"191",2023-07-21 11:00:00,0.213
"192",2023-07-21 11:15:00,0.213
"193",2023-07-21 11:30:00,0.213
"194",2023-07-21 11:45:00,0.213
"195",2023-07-21 12:00:00,0.213
"196",2023-07-21 12:15:00,0.213
"197",2023-07-21 12:30:00,0.213
"198",2023-07-21 12:45:00,0.213
"199",2023-07-21 13:00:00,0.213
"200",2023-07-21 13:15:00,0.213
"201",2023-07-21 13:30:00,0.213
"202",2023-07-21 13:45:00,0.213
"203",2023-07-21 14:00:00,0.213
"204",2023-07-21 14:15:00,0.213
"205",2023-07-21 14:30:00,0.213
"206",2023-07-21 14:45:00,0.213
"207",2023-07-21 15:00:00,0.213
"208",2023-07-21 15:15:00,0.213
"209",2023-07-21 15:30:00,0.213
"210",2023-07-21 15:45:00,0.213
"211",2023-07-21 16:00:00,0.213
"212",2023-07-21 16:15:00,0.213
"213",2023-07-21 16:30:00,0.213
"214",2023-07-21 16:45:00,0.213
"215",2023-07-21 17:00:00,0.213
"216",2023-07-21 17:15:00,0.213
"217",2023-07-21 17:30:00,0.213
"218",2023-07-21 17:45:00,0.213
"219",2023-07-21 18:00:00,0.213
"220",2023-07-21 18:15:00,0.213
"221",2023-07-21 18:30:00,0.213
"222",2023-07-21 18:45:00,0.213
"223",2023-07-21 19:00:00,0.213
"224",2023-07-21 19:15:00,0.213
"225",2023-07-21 19:30:00,0.213
"226",2023-07-21 19:45:00,0.213
"227",2023-07-21 20:00:00,0.213
"228",2023-07-21 20:15:00,0.213
"229",2023-07-21 20:30:00,0.213
"230",2023-07-21 20:45:00,0.213
"231",2023-07-21 21:00:00,0.213
"232",2023-07-21 21:15:00,0.213
"233",2023-07-21 21:30:00,0.213
"234",2023-07-21 21:45:00,0.213
"235",2023-07-21 22:00:00,0.213
"236",2023-07-21 22:15:00,0.213
"237",2023-07-21 22:30:00,0.213
"238",2023-07-21 22:45:00,0.213
"239",2023-07-21 23:00:00,0.213
"240",2023-07-21 23:15:00,0.213
"241",2023-07-21 23:30:00,0.213
"242",2023-07-21 23:45:00,0.213
"243",2023-07-22,0.213
"244",2023-07-22 00:15:00,0.213
"245",2023-07-22 00:30:00,0.213
"246",2023-07-22 00:45:00,0.213
"247",2023-07-22 01:00:00,0.213
"248",2023-07-22 01:15:00,0.213
"249",2023-07-22 01:30:00,0.213
"250",2023-07-22 01:45:00,0.213
"251",2023-07-22 02:00:00,0.213
"252",2023-07-22 02:15:00,0.213
"253",2023-07-22 02:30:00,0.213
"254",2023-07-22 02:45:00,0.213
"255",2023-07-22 03:00:00,0.213
"256",2023-07-22 03:15:00,0.213
"257",2023-07-22 03:30:00,0.213
"258",2023-07-22 03:45:00,0.213
"259",2023-07-22 04:00:00,0.213
"260",2023-07-22 04:15:00,0.213
"261",2023-07-22 04:30:00,0.213
"262",2023-07-22 04:45:00,0.213
"263",2023-07-22 05:00:00,0.213
"264",2023-07-22 05:15:00,0.213
"265",2023-07-22 05:30:00,0.213
"266",2023-07-22 05:45:00,0.213
"267",2023-07-22 06:00:00,0.213
"268",2023-07-22 06:15:00,0.213
"269",2023-07-22 06:30:00,0.213
"270",2023-07-22 06:45:00,0.213
"271",2023-07-22 07:00:00,0.213
"272",2023-07-22 07:15:00,0.213
"273",2023-07-22 07:30:00,0.213
"274",2023-07-22 07:45:00,0.213
"275",2023-07-22 08:00:00,0.213
"276",2023-07-22 08:15:00,0.213
"277",2023-07-22 08:30:00,0.213
"278",2023-07-22 08:45:00,0.213
"279",2023-07-22 09:00:00,0.213
"280",2023-07-22 09:15:00,0.213
"281",2023-07-22 09:30:00,0.213
"282",2023-07-22 09:45:00,0.213
"283",2023-07-22 10:00:00,0.213
"284",2023-07-22 10:15:00,0.213
"285",2023-07-22 10:30:00,0.213
"286",2023-07-22 10:45:00,0.213
"287",2023-07-22 11:00:00,0.213
"288",2023-07-22 11:15:00,0.213
"289",2023-07-22 11:30:00,0.213
